,Company,Previous Closing Price,Opening Price,High,Low,Close,Change,Trades,Volume,Value,Trade Date
68,JAPAULGOLD,0.28,0.28,0.28,0.28,0.28,0,6,"137,480","38,881.00",24 Mar 23
69,JBERGER,26.95,26.95,--,--,--,,5,"111,000","2,945,500.00",24 Mar 23
70,JOHNHOLT,1.59,1.59,--,--,--,,0,--,--,24 Mar 23
71,JULI,0.79,0.79,--,--,--,,0,--,--,24 Mar 23
72,LASACO,1,1,1.00,1.00,1.00,0,5,"500,865","500,856.35",24 Mar 23
73,LEARNAFRCA,2.2,2.2,--,--,--,,0,--,--,24 Mar 23
74,LINKASSURE,0.42,0.42,--,--,--,,1,980,401.80,24 Mar 23
75,LIVESTOCK,1.04,1.04,--,--,--,,5,"11,250","11,373.60",24 Mar 23
76,LIVINGTRUST,3.07,3.07,--,--,--,,2,"99,460","303,353.00",24 Mar 23
77,MANSARD,1.85,1.85,--,--,--,,16,"78,648","151,106.02",24 Mar 23
78,MAYBAKER,4.5,4.5,4.60,4.30,4.60,0.1,24,"599,535","2,644,621.63",24 Mar 23
79,MBENEFIT,0.33,0.33,--,--,--,,1,"1,800",594.00,24 Mar 23
80,MCNICHOLS,0.79,0.79,--,--,--,,0,--,--,24 Mar 23
81,MEDVIEWAIR [BMF],1.62,1.62,--,--,--,,0,--,--,24 Mar 23
82,MEYER,2.21,2.21,--,--,--,,2,149,357.60,24 Mar 23
83,MORISON,2.17,2.17,--,--,--,,0,--,--,24 Mar 23
84,MRS,27.95,27.95,--,--,--,,6,"100,356","2,609,372.05",24 Mar 23
85,MTNN,236,236,--,--,--,,250,"3,810,530","892,526,204.60",24 Mar 23
86,MULTITREX [DWL],0.36,0.36,--,--,--,,0,--,--,24 Mar 23
87,MULTIVERSE,3.25,3.25,--,--,--,,2,"2,500","8,250.00",24 Mar 23
88,NAHCO,8,8,--,--,--,,21,"226,687","1,822,372.90",24 Mar 23
89,NASCON,12.2,12.2,--,--,--,,15,"176,483","2,152,361.80",24 Mar 23
90,NB,38.55,38.55,36.70,36.50,36.50,-2.05,98,"6,753,898","247,043,763.95",24 Mar 23
91,NCR,2.35,2.35,--,--,--,,2,"1,300","2,769.00",24 Mar 23
92,NEIMETH,1.48,1.48,1.48,1.48,1.48,0,7,"14,012,086","20,736,961.28",24 Mar 23
93,NEM,4,4,4.00,4.00,4.00,0,3,"140,461","563,289.86",24 Mar 23
94,NESF,552.2,552.2,--,--,--,,0,--,--,24 Mar 23
95,NESTLE,1080.3,1080.3,--,--,--,,46,"40,140","43,957,628.90",24 Mar 23
96,NGXGROUP,28,28,28.00,28.00,28.00,0,22,"7,109,773","198,995,289.80",24 Mar 23
97,NIGERINS [MRF],0.2,0.2,--,--,--,,0,--,--,24 Mar 23
98,NNFM,11,11,--,--,--,,2,"1,011","11,926.50",24 Mar 23
99,NOTORE [BLS],62.5,62.5,--,--,--,,0,--,--,24 Mar 23
100,NPFMCRFBK [BLS],1.73,1.73,1.85,1.85,1.85,0.12,16,"561,543","1,023,512.34",24 Mar 23
101,NSLTECH,0.24,0.24,--,--,--,,0,--,--,24 Mar 23
102,OANDO [MRF],4.2,4.2,4.29,4.10,4.10,-0.1,60,"3,231,303","13,552,968.69",24 Mar 23
103,OKOMUOIL,183.5,183.5,--,--,--,,17,"31,984","5,804,005.30",24 Mar 23
104,OMATEK [RST],0.2,0.2,--,--,--,,0,--,--,24 Mar 23
105,PHARMDEKO,1.89,1.89,--,--,--,,1,100,180.00,24 Mar 23
106,PREMPAINTS [MRF],10,10,--,--,--,,0,--,--,24 Mar 23
107,PRESCO,150.8,150.8,--,--,--,,10,"5,670","811,270.00",24 Mar 23
108,PRESTIGE [BLS],0.45,0.45,--,--,--,,0,--,--,24 Mar 23
109,PZ,10.75,10.75,--,--,--,,12,"86,156","915,849.30",24 Mar 23
110,RAKUNITY [MRF],0.3,0.3,--,--,--,,0,--,--,24 Mar 23
111,REDSTAREX,2.77,2.77,--,--,--,,3,"20,100","55,722.81",24 Mar 23
112,REGALINS,0.3,0.3,--,--,--,,4,"65,620","20,466.63",24 Mar 23
113,RESORTSAL [MRF],0.2,0.2,--,--,--,,0,--,--,24 Mar 23
114,RONCHESS,81,81,--,--,--,,0,--,--,24 Mar 23
115,ROYALEX,0.69,0.69,--,--,--,,0,--,--,24 Mar 23
116,RTBRISCOE,0.26,0.26,--,--,--,,3,"91,852","23,447.06",24 Mar 23
117,SCOA,1,1,--,--,--,,0,--,--,24 Mar 23
118,SEPLAT,1200,1200,--,--,--,,42,"201,014","231,003,972.80",24 Mar 23
119,SFSREIT,77,77,--,--,--,,0,--,--,24 Mar 23
120,SKYAVN,5,5,--,--,--,,4,"20,523","112,858.50",24 Mar 23
121,SMURFIT [MRF],0.22,0.22,--,--,--,,0,--,--,24 Mar 23
122,SOVRENINS,0.28,0.28,--,--,--,,1,"10,000","2,900.00",24 Mar 23
123,STACO [MRF],0.48,0.48,--,--,--,,0,--,--,24 Mar 23
124,STANBIC,36.75,36.75,37.60,37.60,37.60,0.85,20,"3,682,411","138,522,621.00",24 Mar 23
125,STDINSURE [MRF],0.2,0.2,--,--,--,,0,--,--,24 Mar 23
126,STERLNBANK,1.49,1.49,1.51,1.49,1.51,0.02,21,"1,264,455","1,902,277.94",24 Mar 23
127,SUNUASSUR,0.48,0.48,--,--,--,,4,"6,565","2,953.80",24 Mar 23
128,TANTALIZER,0.2,0.2,--,--,--,,0,--,--,24 Mar 23
129,THOMASWY [RST],1.3,1.3,--,--,--,,0,--,--,24 Mar 23
130,TIP,0.52,0.52,--,--,--,,0,--,--,24 Mar 23
131,TOTAL,218.8,218.8,--,--,--,,11,"4,557","967,323.20",24 Mar 23
132,TOURIST [DIP],2.84,2.84,--,--,--,,0,--,--,24 Mar 23
133,TRANSCOHOT [BLS],6.9,6.9,--,--,--,,7,"1,864","12,515.10",24 Mar 23
134,TRANSCORP [MRF],1.37,1.37,1.31,1.30,1.31,-0.06,21,"7,057,480","9,186,174.20",24 Mar 23
135,TRANSEXPR,0.89,0.89,--,--,--,,1,18,14.58,24 Mar 23
136,TRIPPLEG,2.7,2.7,--,--,--,,10,"235,931","576,120.33",24 Mar 23
137,UACN,9.55,9.55,--,--,--,,10,"35,973","325,169.20",24 Mar 23
138,UBA [MRF],8,8,8.10,8.00,8.00,0,113,"12,369,935","99,217,408.50",24 Mar 23
139,UBN [BMF],6.75,6.75,--,--,--,,12,"85,000","585,076.55",24 Mar 23
140,UCAP,11.7,11.7,12.00,12.00,12.00,0.3,45,"655,304","7,822,253.65",24 Mar 23
141,UHOMREIT,36.6,36.6,--,--,--,,0,--,--,24 Mar 23
142,UNHOMES [DIP],3.02,3.02,--,--,--,,0,--,--,24 Mar 23
143,UNILEVER,14,14,--,--,--,,16,"51,149","707,162.75",24 Mar 23
144,UNIONDICON [BRS],8.95,8.95,--,--,--,,0,--,--,24 Mar 23
145,UNITYBNK,0.53,0.53,--,--,--,,4,"108,962","53,301.76",24 Mar 23
